Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
A0A0P0X0S3	Q0JBH9	Os06g0704700	ERG3	12684538:0018:HT:binary	39947	True
O24230	Q0JDK9	EXPB2	DAD1	12684538:0018:HT:binary	39947	True
O82118	Q7X9A8	DTH2	RISBZ2	12684538:0018:HT:binary	39947	True
P07728	Q06967	GLUA1	GF14F	12684538:0018:HT:binary	39947	True
P07728	Q7F1Q9	GLUA1	Os01g0382000	12684538:0018:HT:binary	39947	True
P07728	Q84PD3	GLUA1		12684538:0018:HT:binary	39947	True
P07728	Q9AQW1	GLUA1	REL2	12684538:0018:HT:binary	39947	True
P0C367	Q84PD2	psbC	Os07g0685000	12684538:0018:HT:binary	39947	True
P0C512	P0C512	rbcL	rbcL	22609438:0114:LC:binary	39947	True
P0C512	Q0INY7	rbcL	RBCS	22609438:0114:LC:binary	39947	True
P0C5B2	Q0J466	MADS56	MADS7	12684538:0018:HT:binary	39947	True
P0C5B2	Q10CQ1	MADS56	MADS14	12684538:0018:HT:binary	39947	True
P0C5B2	Q6EU39	MADS56	MADS6	12684538:0018:HT:binary	39947	True
P14323	Q84PD3	GluB1-A		12684538:0018:HT:binary	39947	True
P14323	Q9FXT4	GluB1-A	Os10g0493600	12684538:0018:HT:binary	39947	True
P14614	Q84PC8	GLUB4		12684538:0018:HT:binary	39947	True
P14614	Q84PD3	GLUB4		12684538:0018:HT:binary	39947	True
P14614	Q84PD4	GLUB4		12684538:0018:HT:binary	39947	True
P14614	Q8RZX9	GLUB4	Os01g0693400	12684538:0018:HT:binary	39947	True
P14656	Q8S7W1	GLN1-1	LOC_Os03g07360	12684538:0018:HT:binary	39947	True
P17070	P35686	Os02g0805200	RPS20	12684538:0018:HT:binary	39947	True
P17070	Q9ZRI7	Os02g0805200	Os02g0220600	12684538:0018:HT:binary	39947	True
P20698	Q7F1Q9	Os12g0269200	Os01g0382000	12684538:0018:HT:binary	39947	True
P20698	Q84PD2	Os12g0269200	Os07g0685000	12684538:0018:HT:binary	39947	True
P25776	Q6Z437	Os04g0650000	MPK3	12684538:0018:HT:binary	39947	True
P25778	Q84PD6	Os09g0442300		12684538:0018:HT:binary	39947	True
P40392	Q0JL44	RIC1	SGT1	12684538:0018:HT:binary	39947	True
P49661	Q0JL44	Os01g0833700	SGT1	12684538:0018:HT:binary	39947	True
P93431	Q6ZKC0	RCA	GF14C	12684538:0018:HT:binary	39947	True
Q06967	Q6ZDF3	GF14F	TRAB1	12684538:0018:HT:binary	39947	True
Q06967	Q84J55	GF14F	GF14A	12684538:0018:HT:binary	39947	True
Q06967	Q84P65	GF14F		12684538:0018:HT:binary	39947	True
Q06967	Q84P68	GF14F		12684538:0018:HT:binary	39947	True
Q06967	Q84PA4	GF14F	LOC_Os03g17070	12684538:0018:HT:binary	39947	True
Q06967	Q84PD5	GF14F	Os02g0681900	12684538:0018:HT:binary	39947	True
Q06967	Q9AQW1	GF14F	REL2	12684538:0018:HT:binary	39947	True
Q07661	Q07661	NDKR	NDKR	15890279:0114:LC:binary	39947	True
Q0D4T4	Q0J466	MADS18	MADS7	12684538:0018:HT:binary	39947	True
Q0D4T4	Q6EU39	MADS18	MADS6	10444103:0018:LC:binary|12684538:0018:HT:binary	39947	True
Q0DBD3	Q6YW46	PP2A1	Os02g0220500	12684538:0018:HT:binary	39947	True
Q0DEB8	Q0J466	MADS5	MADS7	12684538:0018:HT:binary	39947	True
Q0DEB8	Q10CQ1	MADS5	MADS14	12684538:0018:HT:binary	39947	True
Q0DEB8	Q2QW53	MADS5	MADS13	12684538:0018:HT:binary	39947	True
Q0DEB8	Q5ZD06	MADS5	Os01g0771200	12684538:0018:HT:binary	39947	True
Q0DEB8	Q6EU39	MADS5	MADS6	10444103:0018:LC:binary|12684538:0018:HT:binary	39947	True
Q0DEB8	Q7XTE8	MADS5	GF14B	12684538:0018:HT:binary	39947	True
Q0DEB8	Q7XUN2	MADS5	MADS17	12684538:0018:HT:binary	39947	True
Q0DJV6	Q6Z437	CML18	MPK3	12684538:0018:HT:binary	39947	True
Q0DN94	Q7F1Q9	Os03g0766100	Os01g0382000	12684538:0018:HT:binary	39947	True
Q0E2S4	Q10L32	PP2A3	MSRB5	12684538:0018:HT:binary	39947	True
Q0E2S4	Q84P58	PP2A3		12684538:0018:HT:binary	39947	True
Q0J466	Q10CQ1	MADS7	MADS14	12684538:0018:HT:binary	39947	True
Q0J466	Q10PZ9	MADS7	MADS1	12684538:0018:HT:binary	39947	True
Q0J466	Q2QW53	MADS7	MADS13	12395189:0018:LC:binary|12684538:0018:HT:binary	39947	True
Q0J466	Q40704	MADS7	MADS3	12684538:0018:HT:binary	39947	True
Q0J466	Q5K4R0	MADS7	MADS47	12684538:0018:HT:binary	39947	True
Q0J466	Q6EU39	MADS7	MADS6	10444103:0018:LC:binary|12684538:0018:HT:binary	39947	True
Q0J466	Q6Q9I2	MADS7	MADS15	12684538:0018:HT:binary	39947	True
Q0JBH9	Q0JL44	ERG3	SGT1	12684538:0018:HT:binary	39947	True
Q0JBH9	Q5KQN5	ERG3	Os05g0157000	12684538:0018:HT:binary	39947	True
Q0JBH9	Q5WAB3	ERG3	Os06g0167100	12684538:0018:HT:binary	39947	True
Q0JBH9	Q6AVA8	ERG3	PPDK1	12684538:0018:HT:binary	39947	True
Q0JBH9	Q6AVV1	ERG3	OSJNBb0024N19.14	12684538:0018:HT:binary	39947	True
Q0JBH9	Q84P76	ERG3		12684538:0018:HT:binary	39947	True
Q0JBH9	Q84P79	ERG3		12684538:0018:HT:binary	39947	True
Q0JBH9	Q84P80	ERG3		12684538:0018:HT:binary	39947	True
