Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
A6X980	Q09728	sfc7	cuf1	26771498:0018:HT:binary	4896	True
A6X995	O42882	SPCC417.15	SPAC8E11.05c	26771498:0018:HT:binary	4896	True
C6Y4B0	O42882	SPAC27E2.14	SPAC8E11.05c	26771498:0018:HT:binary	4896	True
C6Y4B7	O13712	SPAC227.19c	mug61	26771498:0018:HT:binary	4896	True
C6Y4C1	O13712	pet117	mug61	26771498:0018:HT:binary	4896	True
C6Y4C2	O60130	spo2	SPBC16G5.16	26771498:0018:HT:binary	4896	True
C6Y4C2	P78962	spo2	atf21	26771498:0018:HT:binary	4896	True
C6Y4D2	O14423	mrp49	cbh1	26771498:0018:HT:binary	4896	True
C6Y4D3	O74447	ecl1	SPCC16C4.02c	26771498:0018:HT:binary	4896	True
G2TRS9	Q09811	SPBC337.02c	rqh1	26771498:0018:HT:binary	4896	True
O13286	O13286	srw1	srw1	26771498:0018:HT:binary	4896	True
O13286	P10815	srw1	cdc13	21389117:0415:LC:binary|26771498:0018:HT:binary	4896	True
O13326	O14063	met17	cut15	26771498:0018:HT:binary	4896	True
O13453	O13453	pmp1	pmp1	26771498:0018:HT:binary	4896	True
O13453	Q10156	pmp1	lkh1	23695164:0018:HT:binary|23695164:0397:HT:binary|26771498:0018:HT:binary	4896	True
O13598	O94425	pi003	SPBC660.05	26771498:0018:HT:binary	4896	True
O13598	O94426	pi003	SPBC660.06	26771498:0018:HT:binary	4896	True
O13600	O13787	sws1	sec62	26771498:0018:HT:binary	4896	True
O13600	O94670	sws1	SPBC651.12c	26771498:0018:HT:binary	4896	True
O13600	Q09797	sws1	SPAC22G7.03	26771498:0018:HT:binary	4896	True
O13614	O14261	rps1002	taf1	26771498:0018:HT:binary	4896	True
O13633	O13961	pi041	cut11	33109728:0090:HT:binary	4896	True
O13633	Q9UTN0	pi041	SPAC139.03	26771498:0018:HT:binary	4896	True
O13637	O94319	sec31	sec13	23695164:0018:HT:binary|23695164:0397:HT:binary|26771498:0018:HT:binary	4896	True
O13637	P41888	sec31	tnr3	26771498:0018:HT:binary	4896	True
O13640	O13681	pi048	IMA1	33109728:0090:HT:binary	4896	True
O13640	O13961	pi048	cut11	33109728:0090:HT:binary	4896	True
O13644	O74534	sed5	sly1	26771498:0018:HT:binary	4896	True
O13647	O13647	pi054	pi054	26771498:0018:HT:binary	4896	True
O13647	O59670	pi054	SPBC29A3.07c	26771498:0018:HT:binary	4896	True
O13647	Q9P7I3	pi054	mdv1	26771498:0018:HT:binary	4896	True
O13652	O74447	sfi1	SPCC16C4.02c	26771498:0018:HT:binary	4896	True
O13657	O13961	pi066	cut11	33109728:0090:HT:binary	4896	True
O13671	O13671	kap109	kap109	26771498:0018:HT:binary	4896	True
O13671	P28748	kap109	spi1	26771498:0018:HT:binary	4896	True
O13674	O14261	mug24	taf1	26771498:0018:HT:binary	4896	True
O13674	Q9P7Q4	mug24	sec18	26771498:0018:HT:binary	4896	True
O13679	O13961	SPCC737.05	cut11	33109728:0090:HT:binary	4896	True
O13681	O13681	IMA1	IMA1	21880100:0018:LC:binary|26771498:0018:HT:binary	4896	True
O13681	O13712	IMA1	mug61	21880100:0018:LC:binary|26771498:0018:HT:binary	4896	True
O13681	O13717	IMA1	SPAC14C4.10c	33109728:0090:HT:binary	4896	True
O13681	O13785	IMA1	use1	33109728:0090:HT:binary	4896	True
O13681	O13787	IMA1	sec62	33109728:0090:HT:binary	4896	True
O13681	O13811	IMA1	SPAC17H9.14c	33109728:0090:HT:binary	4896	True
O13681	O13825	IMA1	yos1	33109728:0090:HT:binary	4896	True
O13681	O13846	IMA1	scs7	33109728:0090:HT:binary	4896	True
O13681	O13932	IMA1	bet1	33109728:0090:HT:binary	4896	True
O13681	O13961	IMA1	cut11	33109728:0090:HT:binary	4896	True
O13681	O14038	IMA1	SPAC2C4.05	33109728:0090:HT:binary	4896	True
O13681	O14067	IMA1	SPAC1687.08	33109728:0090:HT:binary	4896	True
O13681	O14068	IMA1	SPAC1687.07	33109728:0090:HT:binary	4896	True
O13681	O14103	IMA1	rot1	33109728:0090:HT:binary	4896	True
O13681	O14193	IMA1	mug69	33109728:0090:HT:binary	4896	True
O13681	O14290	IMA1	SPAC9E9.04	33109728:0090:HT:binary	4896	True
O13681	O14346	IMA1	SPBC19C2.15c	33109728:0090:HT:binary	4896	True
O13681	O36022	IMA1	mnn9	33109728:0090:HT:binary	4896	True
O13681	O42646	IMA1	ubc6	33109728:0090:HT:binary	4896	True
O13681	O42826	IMA1	pdh1	33109728:0090:HT:binary	4896	True
O13681	O42841	IMA1	SPAC23A1.02c	33109728:0090:HT:binary	4896	True
O13681	O42843	IMA1	SPAC23A1.05	33109728:0090:HT:binary	4896	True
O13681	O42901	IMA1	SPBC119.09c	33109728:0090:HT:binary	4896	True
O13681	O42933	IMA1	ogm4	33109728:0090:HT:binary	4896	True
O13681	O42940	IMA1	pho88	33109728:0090:HT:binary	4896	True
O13681	O42944	IMA1	omh2	33109728:0090:HT:binary	4896	True
O13681	O42968	IMA1	SPBC1E8.03c	33109728:0090:HT:binary	4896	True
O13681	O43002	IMA1	sbh1	33109728:0090:HT:binary	4896	True
O13681	O59715	IMA1	dsd1	33109728:0090:HT:binary	4896	True
O13681	O59735	IMA1	lac1	33109728:0090:HT:binary	4896	True
O13681	O59747	IMA1	pdf1	33109728:0090:HT:binary	4896	True
O13681	O59764	IMA1	SPCC1020.11c	33109728:0090:HT:binary	4896	True
O13681	O59776	IMA1	SPCC1795.12c	33109728:0090:HT:binary	4896	True
O13681	O60061	IMA1	alg5	33109728:0090:HT:binary	4896	True
O13681	O60159	IMA1	SPBC19C7.11	33109728:0090:HT:binary	4896	True
O13681	O74323	IMA1	sec11	33109728:0090:HT:binary	4896	True
O13681	O74377	IMA1	SPBC3H7.02	33109728:0090:HT:binary	4896	True
O13681	O74446	IMA1	sif2	33109728:0090:HT:binary	4896	True
O13681	O74510	IMA1	bqt3	33109728:0090:HT:binary	4896	True
O13681	O74557	IMA1	cbr1	33109728:0090:HT:binary	4896	True
O13681	O74559	IMA1	SPCC970.06	33109728:0090:HT:binary	4896	True
O13681	O74750	IMA1	yea4	33109728:0090:HT:binary	4896	True
O13681	O74820	IMA1	erg28	33109728:0090:HT:binary	4896	True
O13681	O74827	IMA1	cho1	33109728:0090:HT:binary	4896	True
O13681	O74837	IMA1	pmp31	33109728:0090:HT:binary	4896	True
O13681	O74849	IMA1	ght6	33109728:0090:HT:binary	4896	True
O13681	O74916	IMA1	SPCC757.05c	33109728:0090:HT:binary	4896	True
O13681	O74926	IMA1	rbd2	33109728:0090:HT:binary	4896	True
O13681	O74943	IMA1	SPCC553.06	33109728:0090:HT:binary	4896	True
O13681	O74969	IMA1	ght2	33109728:0090:HT:binary	4896	True
O13681	O74992	IMA1	SPCC338.18	33109728:0090:HT:binary	4896	True
