Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
A0A178U6D3	A0A178U6D3	At5g43830	At5g43830	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U6D3	A0A178V0I5	At5g43830	At4g27450	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U6D3	B9DG40	At5g43830	At3g15450	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U6D3	Q8GXE2	At5g43830	ARD2	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U6D3	Q8W108	At5g43830	ARD3	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U7R5	Q9LEZ3	At5g67220	BIM1	32612234:0007:HT:binary|32612234:0018:HT:binary|32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178U8H4	Q38845	AXX17_At5g17430	PP2AA1	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UA35	O81313	At5g52010	IND	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UA90	Q84MB2	At5g22480	TIFY8	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UAG4	O04378	At5g01800	SYP23	21952135:0018:HT:binary	3702	True
A0A178UAG4	Q8RXP6	At5g01800	WAV2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UAG4	Q9LYN8	At5g01800	EMS1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UBZ6	Q8H1F2	At5g15680	RGS1	21952135:0018:HT:binary	3702	True
A0A178UE81	Q6ID77	At5g25080	MED11	21798944:0018:HT:binary|21798944:0397:HT:binary	3702	True
A0A178UF08	A0A178WKH7	At5g61630	At1g47640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UF08	P43287	At5g61630	PIP2-2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UF08	P93004	At5g61630	PIP2-7	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UF08	Q39196	At5g61630	PIP1.4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UF08	Q9LMN8	At5g61630	WAK3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UFM8	F4IPZ4	At5g51560	At2g37050	24833385:0090:HT:binary|29320478:0096:LC:binary	3702	True
A0A178UFM8	Q9SYS3	At5g51560	CRK40	24833385:0090:HT:binary	3702	True
A0A178UG69	Q8GXW1	At5g25580	RGL2	32612234:0018:HT:binary|32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UGH4	O23160	At5g62770	MYB73	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UGU3	Q8S8E3	At5g13810	PYL6	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UH48	Q9LF53	AXX17_At5g15360	RGL3	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UI53	A8MR24	At5g14240	JAZ3	21952135:0018:HT:binary	3702	True
A0A178UI53	O04378	At5g14240	SYP23	21952135:0018:HT:binary	3702	True
A0A178UI53	O23210	At5g14240	SCL15	21952135:0018:HT:binary	3702	True
A0A178UI53	O81071	At5g14240	At2g29020	21952135:0018:HT:binary	3702	True
A0A178UI53	Q38814	At5g14240	THI1	21952135:0018:HT:binary	3702	True
A0A178UI53	Q84K90	At5g14240	RHIP1	21952135:0018:HT:binary	3702	True
A0A178UI53	Q8H1F2	At5g14240	RGS1	21952135:0018:HT:binary	3702	True
A0A178UI53	Q8VY86	At5g14240	MSRB7	21952135:0018:HT:binary	3702	True
A0A178UI53	Q941A6	At5g14240	SDH6	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9FF52	At5g14240	RPL12C	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9FFT4	At5g14240	PDC2	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9FKP8	At5g14240	ZHD1	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9LK72	At5g14240	At3g16530	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9LVI4	At5g14240	TIFY6B	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9M328	At5g14240	ATUSP	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9SK99	At5g14240	NPF5.15	21952135:0018:HT:binary	3702	True
A0A178UI53	Q9ZV18	At5g14240	At2g38870	21952135:0018:HT:binary	3702	True
A0A178UJ48	Q39024	At5g14600	MPK4	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UJW7	Q9FHZ1	At5g05360	SCL23	32612234:0018:HT:binary	3702	True
A0A178UK21	A0A178UY72	At5g07490	At4g30500	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	A0A178V0F6	At5g07490	At4g20790	24833385:0090:HT:binary	3702	True
A0A178UK21	A0A178WKH7	At5g07490	At1g47640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	C0LGN2	At5g07490	LRR-RLK	24833385:0112:HT:binary	3702	True
A0A178UK21	C0LGW2	At5g07490	PAM74	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	F4IHS9	At5g07490	UXT1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	O64852	At5g07490	IQD6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	P57752	At5g07490	ACBP6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q84N34	At5g07490	HHP2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q8L7H1	At5g07490	At4g14103	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q8L9S0	At5g07490	At1g29060	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q8LD98	At5g07490	NHL6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q8RYE2	At5g07490	FEX	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q944H2	At5g07490	ABCI12	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9AST5	At5g07490	At5g49540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9C7D7	At5g07490	At3g12180	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9C835	At5g07490	CYP21-4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9FNH6	At5g07490	NHL3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9LNM6	At5g07490	At1g34640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9LPN5	At5g07490	VPS60-1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9LYI4	At5g07490	EMB3135	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9SHI7	At5g07490	UBC34	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9SLC0	At5g07490	MHK10.11	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9SZG0	At5g07490	HHP4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK21	Q9XI98	At5g07490	RABG3E	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	C0LGW2	At5g61570	PAM74	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	O64852	At5g61570	IQD6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	O80492	At5g61570	At1g09160	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	P57752	At5g61570	ACBP6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q94F23	At5g61570	At1g27290	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q94F58	At5g61570	NAC089	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9AST5	At5g61570	At5g49540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9C7D7	At5g61570	At3g12180	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9FWR4	At5g61570	DHAR1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9LMN8	At5g61570	WAK3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9LPN5	At5g61570	VPS60-1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9LSP7	At5g61570	UBC32	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9LUV2	At5g61570	HS1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9LVU1	At5g61570	PVA21	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9M2Z4	At5g61570	MSBP2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UK40	Q9SHI7	At5g61570	UBC34	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UKR9	Q17TI5	AXX17_At5g49040	BRX	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UKV5	Q94A87	At5g08139	At1g10090	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178ULM2	Q93Z00	At5g63200	TCP14	21798944:0018:HT:binary	3702	True
A0A178ULM2	Q96331	At5g63200	HSP23.6	21798944:0018:HT:binary	3702	True
A0A178ULM2	Q9LZL7	At5g63200	FES1C	21798944:0018:HT:binary	3702	True
A0A178UNB2	Q5CCK4	At5g55620	VAL2	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UP27	O22211	At5g26790	GPT	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	O64852	At5g26790	IQD6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	P18064	At5g26790	GPA1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q8LAA6	At5g26790	PIP1-5	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q944J0	At5g26790	At2g22425	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9AST5	At5g26790	At5g49540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9LK55	At5g26790	PRCE1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9LN68	At5g26790	GATL1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9LNM6	At5g26790	At1g34640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9LSP7	At5g26790	UBC32	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9M2Z5	At5g26790	At3g48880	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UP27	Q9XIF4	At5g26790	TRX7	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPG8	Q8LAZ7	AXX17_At5g51100	CSN5A	21798944:0018:HT:binary	3702	True
A0A178UPG8	Q9LPR8	AXX17_At5g51100	SCL3	21798944:0018:HT:binary|32612234:0018:HT:binary|32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UPL1	Q9AST5	At5g20885	At5g49540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL1	Q9FNH6	At5g20885	NHL3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	A0A1P8AW92	At5g11680	At1g33490	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	A0A5S9SSN9	At5g11680	At1g05640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	F4K2U8	At5g11680	CAND8	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	O80594	At5g11680	At1g10030	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q1PE48	At5g11680	CDS3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q8GUN1	At5g11680	At4g31340	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q96247	At5g11680	AUX1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9LFB8	At5g11680	NPF8.2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9LPD5	At5g11680	At1g44960	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9LPR6	At5g11680	TET11	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9LU58	At5g11680	MWD22.10	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9LUN2	At5g11680	YSL5	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9M021	At5g11680	LECRK62	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UPL8	Q9SA63	At5g11680	LFG4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UQP5	Q9SZZ4	At5g16250	At4g25660	21798944:0018:HT:binary	3702	True
A0A178UQT8	A0A178UQT8	At5g19920	At5g19920	21798944:0018:HT:binary|21798944:0397:HT:binary	3702	True
A0A178UQT8	Q9LYT1	At5g19920	PAO3	21798944:0018:HT:binary|21798944:0397:HT:binary	3702	True
A0A178UQT8	Q9M810	At5g19920	F9I5.13	21798944:0397:HT:binary	3702	True
A0A178UR84	Q3EB02	At4g38790	At3g26110	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178URY2	Q9M157	At4g23670	ETC3	21798944:0018:HT:binary|21798944:0397:HT:binary	3702	True
A0A178URZ9	Q8H1F2	At5g65650	RGS1	21952135:0018:HT:binary	3702	True
A0A178USI4	Q17TI5	At5g10160	BRX	21798944:0018:HT:binary|21798944:0397:HT:binary	3702	True
A0A178USS1	A0A654FND0	At4g34560	At4g11860	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	A0A178V0F6	At4g26580	At4g20790	24833385:0090:HT:binary	3702	True
A0A178UT55	A9X4U2	At4g26580	3BETAHSD/D3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	C0LGN2	At4g26580	LRR-RLK	24833385:0112:HT:binary	3702	True
A0A178UT55	C0LGW2	At4g26580	PAM74	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	O64852	At4g26580	IQD6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q84N34	At4g26580	HHP2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q8L9S0	At4g26580	At1g29060	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q8RY98	At4g26580	At1g07860	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q8RYE2	At4g26580	FEX	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q8VZB3	At4g26580	At1g63110	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q944J0	At4g26580	At2g22425	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9AST5	At4g26580	At5g49540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9C7D7	At4g26580	At3g12180	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9C835	At4g26580	CYP21-4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9FNH6	At4g26580	NHL3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9LPN5	At4g26580	VPS60-1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9LVU1	At4g26580	PVA21	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9LW56	At4g26580	FAO3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9M0V8	At4g26580	At4g05370	24833385:0112:HT:binary	3702	True
A0A178UT55	Q9SHI7	At4g26580	UBC34	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UT55	Q9SZG0	At4g26580	HHP4	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UTG1	O04492	At4g19200	DRB1	32612234:0018:HT:binary|32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UTX2	Q8H1F2	At4g29590	RGS1	21952135:0018:HT:binary	3702	True
A0A178UUQ1	A0A178VRV6	At4g30240	At2g25890	24833385:0090:HT:binary	3702	True
A0A178UUQ1	A0A1P8ANF5	At4g30240	CYP708A3	24833385:0090:HT:binary	3702	True
A0A178UUQ1	F4JMI7	At4g30240	At4g16620	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q1PFG9	At4g30240	DTX7	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q2HIR7	At4g30240	APE1	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9FJ87	At4g30240	DTX50	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9LDH3	At4g30240	At1g12500	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9LIC7	At4g30240	PRA1F4	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9LKC0	At4g30240	YUC5	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9LUH2	At4g30240	DTX19	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9ZU96	At4g30240	At2g01680	24833385:0090:HT:binary	3702	True
A0A178UUQ1	Q9ZW11	At4g30240	LECRK32	24833385:0090:HT:binary	3702	True
A0A178UV22	O80762	At4g23610	At1g60410	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UVG5	Q5CCK4	At4g36030	VAL2	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UW72	A0A178WKH7	At4g30770	At1g47640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UW72	Q84N34	At4g30770	HHP2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWA3	F4J0Y1	At4g32000	ATMRK1	24833385:0112:HT:binary	3702	True
A0A178UWC5	A7RED0	At4g30845	At1g57760	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	O22845	At4g30845	CML5	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	P57752	At4g30845	ACBP6	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q940H3	At4g30845	TBL36	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q9C7D7	At4g30845	At3g12180	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q9FJB4	At4g30845	GPC1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q9LD40	At4g30845	CNGC13	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q9LMA2	At4g30845	At1g19240	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWC5	Q9M9S6	At4g30845	UTR3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWZ9	C0LGW2	At4g26620	PAM74	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWZ9	Q8VY69	At4g26620	VAMP723	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWZ9	Q9LPN5	At4g26620	VPS60-1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UWZ9	Q9SJX7	At4g26620	RUS2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UXA1	P38389	At4g27580	At2g45070	24833385:0112:HT:binary	3702	True
A0A178UXA1	Q9FVU7	At4g27580	T8L23.1	24833385:0112:HT:binary	3702	True
A0A178UXI0	Q9LRH6	At4g00780	GATA25	32612234:0397:HT:binary|32612234:1112:HT:binary|32612234:1356:HT:binary	3702	True
A0A178UY72	A0A178VRV6	At4g30500	At2g25890	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A1P8AVI5	At4g30500	EMB1273	24833385:0112:HT:binary	3702	True
A0A178UY72	A0A1P8AW92	At4g30500	At1g33490	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A1P8AY82	At4g30500	At2g23093	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A1P8AZ29	At4g30500	At2g41050	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A384LAD1	At4g30500	At3g15710	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A384LQ38	At4g30500	At3g27770	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A5S9SSN9	At4g30500	At1g05640	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	A0A654EGX1	At4g30500	AN1_LOCUS4070	24833385:0090:HT:binary	3702	True
A0A178UY72	A8MRQ6	At4g30500	At4g23090	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	B9DFZ1	At4g30500	CAND3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	C0LGL4	At4g30500	At2g28960	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	C0LGT1	At4g30500	At5g10290	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4HPH2	At4g30500	DTX20	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4HZR4	At4g30500	At1g21940	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4I1K2	At4g30500	At1g36050	24833385:0112:HT:binary	3702	True
A0A178UY72	F4I4R0	At4g30500	At1g30080	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4I8X6	At4g30500	At1g11540	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4J9A3	At4g30500	At3g53210	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4JMI7	At4g30500	At4g16620	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4JMN0	At4g30500	At4g22830	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4JZD5	At4g30500	At5g11870	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	F4K2U8	At4g30500	CAND8	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O22622	At4g30500	DAD2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O22777	At4g30500	At2g33250	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O23298	At4g30500	dl3250c	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O65389	At4g30500	F12F1.23	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O65539	At4g30500	F4D11.200	24833385:0112:HT:binary	3702	True
A0A178UY72	O80638	At4g30500	At2g39510	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O80774	At4g30500	At2g34250	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O81071	At4g30500	At2g29020	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	O82390	At4g30500	ANTR1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P35402	At4g30500	ERD2A	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P46032	At4g30500	NPF8.3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P49333	At4g30500	ETR1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P54144	At4g30500	AMT1-1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P92962	At4g30500	PROT2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	P93026	At4g30500	VSR1	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q06611	At4g30500	PIP1-2	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q07488	At4g30500	BCB	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q08733	At4g30500	PIP1-3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q0WQ63	At4g30500	At3g05150	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q1PE48	At4g30500	CDS3	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
A0A178UY72	Q1PFV9	At4g30500	At1g15610	24833385:0090:HT:binary|24833385:0112:HT:binary	3702	True
